"year","month","date_of_month","date","day_of_week","births"
1994,2,17,1994-02-17,"Thurs",11674
1994,2,18,1994-02-18,"Fri",11887
1994,2,19,1994-02-19,"Sat",8946
1994,2,20,1994-02-20,"Sun",8402
1994,2,21,1994-02-21,"Mon",10617
1994,2,22,1994-02-22,"Tues",11810
1994,2,23,1994-02-23,"Wed",11776
1994,2,24,1994-02-24,"Thurs",11667
1994,2,25,1994-02-25,"Fri",11905
1994,2,26,1994-02-26,"Sat",8988
1994,2,27,1994-02-27,"Sun",8195
1994,2,28,1994-02-28,"Mon",11091
1994,3,1,1994-03-01,"Tues",12127
1994,3,2,1994-03-02,"Wed",11735
1994,3,3,1994-03-03,"Thurs",11984
1994,3,4,1994-03-04,"Fri",12066
1994,3,5,1994-03-05,"Sat",9215
1994,3,6,1994-03-06,"Sun",8389
1994,3,7,1994-03-07,"Mon",10996
1994,3,8,1994-03-08,"Tues",12275
1994,3,9,1994-03-09,"Wed",11780
1994,3,10,1994-03-10,"Thurs",11792
1994,3,11,1994-03-11,"Fri",11939
1994,3,12,1994-03-12,"Sat",9087
1994,3,13,1994-03-13,"Sun",8248
1994,3,14,1994-03-14,"Mon",11092
1994,3,15,1994-03-15,"Tues",12298
1994,3,16,1994-03-16,"Wed",11865
1994,3,17,1994-03-17,"Thurs",11976
1994,3,18,1994-03-18,"Fri",11799
1994,3,19,1994-03-19,"Sat",8944
1994,3,20,1994-03-20,"Sun",8243
1994,3,21,1994-03-21,"Mon",11140
1994,3,22,1994-03-22,"Tues",11964
1994,3,23,1994-03-23,"Wed",11637
1994,3,24,1994-03-24,"Thurs",11904
1994,3,25,1994-03-25,"Fri",11568
1994,3,26,1994-03-26,"Sat",8957
1994,3,27,1994-03-27,"Sun",8189
1994,3,28,1994-03-28,"Mon",11051
1994,3,29,1994-03-29,"Tues",12154
1994,3,30,1994-03-30,"Wed",11540
1994,3,31,1994-03-31,"Thurs",11782
1994,4,1,1994-04-01,"Fri",10630
1994,4,2,1994-04-02,"Sat",8782
1994,4,3,1994-04-03,"Sun",7530
1994,4,4,1994-04-04,"Mon",10909
1994,4,5,1994-04-05,"Tues",11876
1994,4,6,1994-04-06,"Wed",11811
1994,4,7,1994-04-07,"Thurs",11718
1994,4,8,1994-04-08,"Fri",11532
1994,4,9,1994-04-09,"Sat",8791
1994,4,10,1994-04-10,"Sun",8183
1994,4,11,1994-04-11,"Mon",11060
1994,4,12,1994-04-12,"Tues",12146
1994,4,13,1994-04-13,"Wed",11428
1994,4,14,1994-04-14,"Thurs",11709
1994,4,15,1994-04-15,"Fri",11753
1994,4,16,1994-04-16,"Sat",8790
1994,4,17,1994-04-17,"Sun",7867
1994,4,18,1994-04-18,"Mon",11094
1994,4,19,1994-04-19,"Tues",11966
1994,4,20,1994-04-20,"Wed",11585
1994,4,21,1994-04-21,"Thurs",11509
1994,4,22,1994-04-22,"Fri",11553
1994,4,23,1994-04-23,"Sat",8613
1994,4,24,1994-04-24,"Sun",8089
1994,4,25,1994-04-25,"Mon",10909
1994,4,26,1994-04-26,"Tues",12236
1994,4,27,1994-04-27,"Wed",11701
1994,4,28,1994-04-28,"Thurs",11527
1994,4,29,1994-04-29,"Fri",11474
1994,4,30,1994-04-30,"Sat",8621
1994,5,1,1994-05-01,"Sun",8145
1994,5,2,1994-05-02,"Mon",11169
1994,5,3,1994-05-03,"Tues",12023
1994,5,4,1994-05-04,"Wed",11754
1994,5,5,1994-05-05,"Thurs",11958
1994,5,6,1994-05-06,"Fri",11904
1994,5,7,1994-05-07,"Sat",8641
1994,5,8,1994-05-08,"Sun",8203
1994,5,9,1994-05-09,"Mon",10914
1994,5,10,1994-05-10,"Tues",11771
1994,5,11,1994-05-11,"Wed",11278
1994,5,12,1994-05-12,"Thurs",11822
1994,5,13,1994-05-13,"Fri",11085
1994,5,14,1994-05-14,"Sat",8830
1994,5,15,1994-05-15,"Sun",8253
1994,5,16,1994-05-16,"Mon",11103
1994,5,17,1994-05-17,"Tues",12289
1994,5,18,1994-05-18,"Wed",11668
1994,5,19,1994-05-19,"Thurs",11411
1994,5,20,1994-05-20,"Fri",11645
1994,5,21,1994-05-21,"Sat",8830
1994,5,22,1994-05-22,"Sun",8449
1994,5,23,1994-05-23,"Mon",11434
1994,5,24,1994-05-24,"Tues",12562
1994,5,25,1994-05-25,"Wed",12005
1994,5,26,1994-05-26,"Thurs",11979
1994,5,27,1994-05-27,"Fri",12132
1994,5,28,1994-05-28,"Sat",8840
1994,5,29,1994-05-29,"Sun",8205
1994,5,30,1994-05-30,"Mon",8468
1994,5,31,1994-05-31,"Tues",11525
1994,6,1,1994-06-01,"Wed",12349
1994,6,2,1994-06-02,"Thurs",12166
1994,6,3,1994-06-03,"Fri",11799
1994,6,4,1994-06-04,"Sat",9182
1994,6,5,1994-06-05,"Sun",8289
1994,6,6,1994-06-06,"Mon",11130
1994,6,7,1994-06-07,"Tues",12145
1994,6,8,1994-06-08,"Wed",11784
1994,6,9,1994-06-09,"Thurs",11648
1994,6,10,1994-06-10,"Fri",12006
1994,6,11,1994-06-11,"Sat",8618
1994,6,12,1994-06-12,"Sun",8171
1994,6,13,1994-06-13,"Mon",10692
1994,6,14,1994-06-14,"Tues",12074
1994,6,15,1994-06-15,"Wed",11954
1994,6,16,1994-06-16,"Thurs",11852
1994,6,17,1994-06-17,"Fri",11744
1994,6,18,1994-06-18,"Sat",8907
1994,6,19,1994-06-19,"Sun",8302
1994,6,20,1994-06-20,"Mon",11337
1994,6,21,1994-06-21,"Tues",12182
1994,6,22,1994-06-22,"Wed",12213
1994,6,23,1994-06-23,"Thurs",11939
1994,6,24,1994-06-24,"Fri",11979
1994,6,25,1994-06-25,"Sat",9047
1994,6,26,1994-06-26,"Sun",8306
1994,6,27,1994-06-27,"Mon",11309
1994,6,28,1994-06-28,"Tues",12211
1994,6,29,1994-06-29,"Wed",12245
1994,6,30,1994-06-30,"Thurs",12157
1994,7,1,1994-07-01,"Fri",12454
1994,7,2,1994-07-02,"Sat",9268
1994,7,3,1994-07-03,"Sun",8298
1994,7,4,1994-07-04,"Mon",8564
1994,7,5,1994-07-05,"Tues",11609
1994,7,6,1994-07-06,"Wed",13086
1994,7,7,1994-07-07,"Thurs",13049
1994,7,8,1994-07-08,"Fri",12623
1994,7,9,1994-07-09,"Sat",9325
1994,7,10,1994-07-10,"Sun",8684
1994,7,11,1994-07-11,"Mon",11567
1994,7,12,1994-07-12,"Tues",12507
1994,7,13,1994-07-13,"Wed",12134
1994,7,14,1994-07-14,"Thurs",12485
1994,7,15,1994-07-15,"Fri",12691
1994,7,16,1994-07-16,"Sat",9547
1994,7,17,1994-07-17,"Sun",8848
1994,7,18,1994-07-18,"Mon",11561
1994,7,19,1994-07-19,"Tues",12583
1994,7,20,1994-07-20,"Wed",12378
1994,7,21,1994-07-21,"Thurs",12447
1994,7,22,1994-07-22,"Fri",12486
1994,7,23,1994-07-23,"Sat",9463
1994,7,24,1994-07-24,"Sun",8734
1994,7,25,1994-07-25,"Mon",11757
1994,7,26,1994-07-26,"Tues",12591
1994,7,27,1994-07-27,"Wed",12423
1994,7,28,1994-07-28,"Thurs",12539
1994,7,29,1994-07-29,"Fri",12231
1994,7,30,1994-07-30,"Sat",9340
1994,7,31,1994-07-31,"Sun",8590
1994,8,1,1994-08-01,"Mon",11428
1994,8,2,1994-08-02,"Tues",12622
1994,8,3,1994-08-03,"Wed",12147
1994,8,4,1994-08-04,"Thurs",12601
1994,8,5,1994-08-05,"Fri",12251
1994,8,6,1994-08-06,"Sat",9336
1994,8,7,1994-08-07,"Sun",8517
1994,8,8,1994-08-08,"Mon",11528
1994,8,9,1994-08-09,"Tues",12643
1994,8,10,1994-08-10,"Wed",12525
1994,8,11,1994-08-11,"Thurs",12147
1994,8,12,1994-08-12,"Fri",12479
1994,8,13,1994-08-13,"Sat",9474
1994,8,14,1994-08-14,"Sun",8926
1994,8,15,1994-08-15,"Mon",11391
1994,8,16,1994-08-16,"Tues",12605
1994,8,17,1994-08-17,"Wed",12344
1994,8,18,1994-08-18,"Thurs",12313
1994,8,19,1994-08-19,"Fri",12227
1994,8,20,1994-08-20,"Sat",9646
1994,8,21,1994-08-21,"Sun",8663
1994,8,22,1994-08-22,"Mon",11489
1994,8,23,1994-08-23,"Tues",12284
1994,8,24,1994-08-24,"Wed",12176
1994,8,25,1994-08-25,"Thurs",12076
1994,8,26,1994-08-26,"Fri",12122
1994,8,27,1994-08-27,"Sat",9171
1994,8,28,1994-08-28,"Sun",8779
1994,8,29,1994-08-29,"Mon",11560
1994,8,30,1994-08-30,"Tues",12431
1994,8,31,1994-08-31,"Wed",12272
1994,9,1,1994-09-01,"Thurs",12183
1994,9,2,1994-09-02,"Fri",12099
1994,9,3,1994-09-03,"Sat",9042
1994,9,4,1994-09-04,"Sun",8420
1994,9,5,1994-09-05,"Mon",8378
1994,9,6,1994-09-06,"Tues",11448
1994,9,7,1994-09-07,"Wed",12660
1994,9,8,1994-09-08,"Thurs",12693
1994,9,9,1994-09-09,"Fri",12811
1994,9,10,1994-09-10,"Sat",9424
1994,9,11,1994-09-11,"Sun",8373
1994,9,12,1994-09-12,"Mon",11500
1994,9,13,1994-09-13,"Tues",12560
1994,9,14,1994-09-14,"Wed",12566
1994,9,15,1994-09-15,"Thurs",12655
1994,9,16,1994-09-16,"Fri",12884
1994,9,17,1994-09-17,"Sat",9779
1994,9,18,1994-09-18,"Sun",8603
1994,9,19,1994-09-19,"Mon",11659
1994,9,20,1994-09-20,"Tues",12584
1994,9,21,1994-09-21,"Wed",12468
1994,9,22,1994-09-22,"Thurs",12590
1994,9,23,1994-09-23,"Fri",12522
1994,9,24,1994-09-24,"Sat",9597
1994,9,25,1994-09-25,"Sun",8754
1994,9,26,1994-09-26,"Mon",11597
1994,9,27,1994-09-27,"Tues",12591
1994,9,28,1994-09-28,"Wed",12405
1994,9,29,1994-09-29,"Thurs",12288
1994,9,30,1994-09-30,"Fri",12090
1994,10,1,1994-10-01,"Sat",9351
1994,10,2,1994-10-02,"Sun",8477
1994,10,3,1994-10-03,"Mon",11437
1994,10,4,1994-10-04,"Tues",12378
1994,10,5,1994-10-05,"Wed",12061
1994,10,6,1994-10-06,"Thurs",12017
1994,10,7,1994-10-07,"Fri",12050
1994,10,8,1994-10-08,"Sat",8981
1994,10,9,1994-10-09,"Sun",8038
1994,10,10,1994-10-10,"Mon",11110
1994,10,11,1994-10-11,"Tues",12236
1994,10,12,1994-10-12,"Wed",11846
1994,10,13,1994-10-13,"Thurs",11398
1994,10,14,1994-10-14,"Fri",11959
1994,10,15,1994-10-15,"Sat",9077
1994,10,16,1994-10-16,"Sun",8022
1994,10,17,1994-10-17,"Mon",11127
1994,10,18,1994-10-18,"Tues",11888
1994,10,19,1994-10-19,"Wed",11533
1994,10,20,1994-10-20,"Thurs",11876
1994,10,21,1994-10-21,"Fri",11562
1994,10,22,1994-10-22,"Sat",9086
1994,10,23,1994-10-23,"Sun",7914
1994,10,24,1994-10-24,"Mon",11068
1994,10,25,1994-10-25,"Tues",12019
1994,10,26,1994-10-26,"Wed",11683
1994,10,27,1994-10-27,"Thurs",11420
1994,10,28,1994-10-28,"Fri",11608
1994,10,29,1994-10-29,"Sat",8855
1994,10,30,1994-10-30,"Sun",8262
1994,10,31,1994-10-31,"Mon",9833
1994,11,1,1994-11-01,"Tues",12316
1994,11,2,1994-11-02,"Wed",11736
1994,11,3,1994-11-03,"Thurs",11703
1994,11,4,1994-11-04,"Fri",11956
1994,11,5,1994-11-05,"Sat",8826
1994,11,6,1994-11-06,"Sun",8100
1994,11,7,1994-11-07,"Mon",11283
1994,11,8,1994-11-08,"Tues",11999
1994,11,9,1994-11-09,"Wed",11811
1994,11,10,1994-11-10,"Thurs",11728
1994,11,11,1994-11-11,"Fri",11533
1994,11,12,1994-11-12,"Sat",8672
1994,11,13,1994-11-13,"Sun",8093
1994,11,14,1994-11-14,"Mon",11044
1994,11,15,1994-11-15,"Tues",11985
1994,11,16,1994-11-16,"Wed",11634
1994,11,17,1994-11-17,"Thurs",11703
1994,11,18,1994-11-18,"Fri",11826
1994,11,19,1994-11-19,"Sat",8771
1994,11,20,1994-11-20,"Sun",8133
1994,11,21,1994-11-21,"Mon",11807
1994,11,22,1994-11-22,"Tues",12764
1994,11,23,1994-11-23,"Wed",11332
1994,11,24,1994-11-24,"Thurs",8036
1994,11,25,1994-11-25,"Fri",9419
1994,11,26,1994-11-26,"Sat",8427
1994,11,27,1994-11-27,"Sun",7937
1994,11,28,1994-11-28,"Mon",11003
1994,11,29,1994-11-29,"Tues",12177
1994,11,30,1994-11-30,"Wed",11643
1994,12,1,1994-12-01,"Thurs",11681
1994,12,2,1994-12-02,"Fri",11379
1994,12,3,1994-12-03,"Sat",8585
1994,12,4,1994-12-04,"Sun",7980
1994,12,5,1994-12-05,"Mon",10772
1994,12,6,1994-12-06,"Tues",11923
1994,12,7,1994-12-07,"Wed",11335
1994,12,8,1994-12-08,"Thurs",11337
1994,12,9,1994-12-09,"Fri",11205
1994,12,10,1994-12-10,"Sat",8461
1994,12,11,1994-12-11,"Sun",7936
1994,12,12,1994-12-12,"Mon",11106
1994,12,13,1994-12-13,"Tues",11884
1994,12,14,1994-12-14,"Wed",11716
1994,12,15,1994-12-15,"Thurs",11962
1994,12,16,1994-12-16,"Fri",12144
1994,12,17,1994-12-17,"Sat",8726
1994,12,18,1994-12-18,"Sun",8130
1994,12,19,1994-12-19,"Mon",11502
1994,12,20,1994-12-20,"Tues",12880
1994,12,21,1994-12-21,"Wed",12391
1994,12,22,1994-12-22,"Thurs",11504
1994,12,23,1994-12-23,"Fri",10087
1994,12,24,1994-12-24,"Sat",7898
1994,12,25,1994-12-25,"Sun",7192
1994,12,26,1994-12-26,"Mon",8454
1994,12,27,1994-12-27,"Tues",11131
1994,12,28,1994-12-28,"Wed",12398
1994,12,29,1994-12-29,"Thurs",12189
1994,12,30,1994-12-30,"Fri",12051
1994,12,31,1994-12-31,"Sat",8809
1995,1,1,1995-01-01,"Sun",7828
1995,1,2,1995-01-02,"Mon",7883
1995,1,3,1995-01-03,"Tues",9999
1995,1,4,1995-01-04,"Wed",11315
1995,1,5,1995-01-05,"Thurs",11243
1995,1,6,1995-01-06,"Fri",11506
1995,1,7,1995-01-07,"Sat",8681
1995,1,8,1995-01-08,"Sun",7821
1995,1,9,1995-01-09,"Mon",10434
1995,1,10,1995-01-10,"Tues",11665
1995,1,11,1995-01-11,"Wed",11279
1995,1,12,1995-01-12,"Thurs",11416
1995,1,13,1995-01-13,"Fri",11071
1995,1,14,1995-01-14,"Sat",8887
1995,1,15,1995-01-15,"Sun",7988
1995,1,16,1995-01-16,"Mon",10417
1995,1,17,1995-01-17,"Tues",11345
1995,1,18,1995-01-18,"Wed",11252
1995,1,19,1995-01-19,"Thurs",11331
1995,1,20,1995-01-20,"Fri",11481
1995,1,21,1995-01-21,"Sat",8746
1995,1,22,1995-01-22,"Sun",7956
1995,1,23,1995-01-23,"Mon",10640
1995,1,24,1995-01-24,"Tues",11344
1995,1,25,1995-01-25,"Wed",11096
1995,1,26,1995-01-26,"Thurs",11380
1995,1,27,1995-01-27,"Fri",11340
1995,1,28,1995-01-28,"Sat",8781
1995,1,29,1995-01-29,"Sun",8009
1995,1,30,1995-01-30,"Mon",10515
1995,1,31,1995-01-31,"Tues",11364
1995,2,1,1995-02-01,"Wed",11279
1995,2,2,1995-02-02,"Thurs",11490
1995,2,3,1995-02-03,"Fri",11264
1995,2,4,1995-02-04,"Sat",8769
1995,2,5,1995-02-05,"Sun",8017
1995,2,6,1995-02-06,"Mon",10587
1995,2,7,1995-02-07,"Tues",11483
1995,2,8,1995-02-08,"Wed",11205
1995,2,9,1995-02-09,"Thurs",11282
1995,2,10,1995-02-10,"Fri",11615
1995,2,11,1995-02-11,"Sat",8949
1995,2,12,1995-02-12,"Sun",8007
1995,2,13,1995-02-13,"Mon",10351
1995,2,14,1995-02-14,"Tues",12454
1995,2,15,1995-02-15,"Wed",11828
1995,2,16,1995-02-16,"Thurs",11657
1995,2,17,1995-02-17,"Fri",11625
1995,2,18,1995-02-18,"Sat",8788
1995,2,19,1995-02-19,"Sun",8038
1995,2,20,1995-02-20,"Mon",10258
1995,2,21,1995-02-21,"Tues",11582
1995,2,22,1995-02-22,"Wed",11716
1995,2,23,1995-02-23,"Thurs",11786
1995,2,24,1995-02-24,"Fri",11671
1995,2,25,1995-02-25,"Sat",8829
1995,2,26,1995-02-26,"Sun",8183
1995,2,27,1995-02-27,"Mon",10702
1995,2,28,1995-02-28,"Tues",11679
1995,3,1,1995-03-01,"Wed",11540
1995,3,2,1995-03-02,"Thurs",11377
1995,3,3,1995-03-03,"Fri",11649
1995,3,4,1995-03-04,"Sat",8807
1995,3,5,1995-03-05,"Sun",7984
1995,3,6,1995-03-06,"Mon",10810
1995,3,7,1995-03-07,"Tues",12115
1995,3,8,1995-03-08,"Wed",11618
1995,3,9,1995-03-09,"Thurs",11380
1995,3,10,1995-03-10,"Fri",11827
1995,3,11,1995-03-11,"Sat",8744
1995,3,12,1995-03-12,"Sun",7859
1995,3,13,1995-03-13,"Mon",10609
1995,3,14,1995-03-14,"Tues",11750
1995,3,15,1995-03-15,"Wed",11736
1995,3,16,1995-03-16,"Thurs",11751
1995,3,17,1995-03-17,"Fri",11953
1995,3,18,1995-03-18,"Sat",8538
1995,3,19,1995-03-19,"Sun",7787
1995,3,20,1995-03-20,"Mon",10588
1995,3,21,1995-03-21,"Tues",11837
1995,3,22,1995-03-22,"Wed",11485
1995,3,23,1995-03-23,"Thurs",11435
1995,3,24,1995-03-24,"Fri",11329
1995,3,25,1995-03-25,"Sat",8628
1995,3,26,1995-03-26,"Sun",7614
1995,3,27,1995-03-27,"Mon",10541
1995,3,28,1995-03-28,"Tues",11563
1995,3,29,1995-03-29,"Wed",11125
1995,3,30,1995-03-30,"Thurs",11205
1995,3,31,1995-03-31,"Fri",11319
1995,4,1,1995-04-01,"Sat",8398
1995,4,2,1995-04-02,"Sun",7547
1995,4,3,1995-04-03,"Mon",10651
1995,4,4,1995-04-04,"Tues",11960
1995,4,5,1995-04-05,"Wed",11475
1995,4,6,1995-04-06,"Thurs",11429
1995,4,7,1995-04-07,"Fri",11587
1995,4,8,1995-04-08,"Sat",8588
1995,4,9,1995-04-09,"Sun",7839
1995,4,10,1995-04-10,"Mon",10930
1995,4,11,1995-04-11,"Tues",11939
1995,4,12,1995-04-12,"Wed",11750
1995,4,13,1995-04-13,"Thurs",11411
1995,4,14,1995-04-14,"Fri",10687
1995,4,15,1995-04-15,"Sat",8492
1995,4,16,1995-04-16,"Sun",7503
1995,4,17,1995-04-17,"Mon",10640
1995,4,18,1995-04-18,"Tues",11652
1995,4,19,1995-04-19,"Wed",11680
1995,4,20,1995-04-20,"Thurs",11504
1995,4,21,1995-04-21,"Fri",11445
1995,4,22,1995-04-22,"Sat",8560
1995,4,23,1995-04-23,"Sun",7749
1995,4,24,1995-04-24,"Mon",11014
1995,4,25,1995-04-25,"Tues",11811
1995,4,26,1995-04-26,"Wed",11551
1995,4,27,1995-04-27,"Thurs",11601
1995,4,28,1995-04-28,"Fri",11457
1995,4,29,1995-04-29,"Sat",8492
1995,4,30,1995-04-30,"Sun",7777
1995,5,1,1995-05-01,"Mon",11090
1995,5,2,1995-05-02,"Tues",12119
1995,5,3,1995-05-03,"Wed",11502
1995,5,4,1995-05-04,"Thurs",11800
1995,5,5,1995-05-05,"Fri",11718
1995,5,6,1995-05-06,"Sat",8565
1995,5,7,1995-05-07,"Sun",7965
1995,5,8,1995-05-08,"Mon",10790
1995,5,9,1995-05-09,"Tues",11728
1995,5,10,1995-05-10,"Wed",11723
1995,5,11,1995-05-11,"Thurs",11723
1995,5,12,1995-05-12,"Fri",11625
1995,5,13,1995-05-13,"Sat",8802
1995,5,14,1995-05-14,"Sun",8165
1995,5,15,1995-05-15,"Mon",11143
1995,5,16,1995-05-16,"Tues",12101
1995,5,17,1995-05-17,"Wed",12085
1995,5,18,1995-05-18,"Thurs",11872
1995,5,19,1995-05-19,"Fri",11692
1995,5,20,1995-05-20,"Sat",8721
1995,5,21,1995-05-21,"Sun",8096
1995,5,22,1995-05-22,"Mon",11250
1995,5,23,1995-05-23,"Tues",12539
1995,5,24,1995-05-24,"Wed",12193
1995,5,25,1995-05-25,"Thurs",12285
1995,5,26,1995-05-26,"Fri",12246
1995,5,27,1995-05-27,"Sat",8795
1995,5,28,1995-05-28,"Sun",8167
1995,5,29,1995-05-29,"Mon",8379
1995,5,30,1995-05-30,"Tues",11271
1995,5,31,1995-05-31,"Wed",12393
1995,6,1,1995-06-01,"Thurs",12243
1995,6,2,1995-06-02,"Fri",11991
1995,6,3,1995-06-03,"Sat",9069
1995,6,4,1995-06-04,"Sun",8059
1995,6,5,1995-06-05,"Mon",11152
1995,6,6,1995-06-06,"Tues",12119
1995,6,7,1995-06-07,"Wed",11774
1995,6,8,1995-06-08,"Thurs",12031
1995,6,9,1995-06-09,"Fri",11645
1995,6,10,1995-06-10,"Sat",8719
1995,6,11,1995-06-11,"Sun",8149
1995,6,12,1995-06-12,"Mon",11169
1995,6,13,1995-06-13,"Tues",11790
1995,6,14,1995-06-14,"Wed",11958
1995,6,15,1995-06-15,"Thurs",11906
1995,6,16,1995-06-16,"Fri",11856
1995,6,17,1995-06-17,"Sat",8821
1995,6,18,1995-06-18,"Sun",8203
1995,6,19,1995-06-19,"Mon",11223
1995,6,20,1995-06-20,"Tues",12395
1995,6,21,1995-06-21,"Wed",12049
1995,6,22,1995-06-22,"Thurs",11799
1995,6,23,1995-06-23,"Fri",11942
1995,6,24,1995-06-24,"Sat",9065
1995,6,25,1995-06-25,"Sun",8279
1995,6,26,1995-06-26,"Mon",11127
1995,6,27,1995-06-27,"Tues",12349
1995,6,28,1995-06-28,"Wed",12162
1995,6,29,1995-06-29,"Thurs",12423
1995,6,30,1995-06-30,"Fri",12338
1995,7,1,1995-07-01,"Sat",9283
1995,7,2,1995-07-02,"Sun",8256
1995,7,3,1995-07-03,"Mon",10623
1995,7,4,1995-07-04,"Tues",9374
1995,7,5,1995-07-05,"Wed",11399
1995,7,6,1995-07-06,"Thurs",12855
1995,7,7,1995-07-07,"Fri",12954
1995,7,8,1995-07-08,"Sat",9438
1995,7,9,1995-07-09,"Sun",8506
1995,7,10,1995-07-10,"Mon",11618
1995,7,11,1995-07-11,"Tues",12552
1995,7,12,1995-07-12,"Wed",12167
1995,7,13,1995-07-13,"Thurs",12253
1995,7,14,1995-07-14,"Fri",12659
1995,7,15,1995-07-15,"Sat",9391
1995,7,16,1995-07-16,"Sun",8516
1995,7,17,1995-07-17,"Mon",11461
1995,7,18,1995-07-18,"Tues",12495
1995,7,19,1995-07-19,"Wed",12129
1995,7,20,1995-07-20,"Thurs",12598
1995,7,21,1995-07-21,"Fri",12428
1995,7,22,1995-07-22,"Sat",9328
1995,7,23,1995-07-23,"Sun",8483
1995,7,24,1995-07-24,"Mon",11501
1995,7,25,1995-07-25,"Tues",12580
1995,7,26,1995-07-26,"Wed",12316
1995,7,27,1995-07-27,"Thurs",12309
1995,7,28,1995-07-28,"Fri",12442
1995,7,29,1995-07-29,"Sat",9277
1995,7,30,1995-07-30,"Sun",8384
1995,7,31,1995-07-31,"Mon",11298
1995,8,1,1995-08-01,"Tues",12442
1995,8,2,1995-08-02,"Wed",12249
1995,8,3,1995-08-03,"Thurs",12193
1995,8,4,1995-08-04,"Fri",12186
1995,8,5,1995-08-05,"Sat",9267
1995,8,6,1995-08-06,"Sun",8346
1995,8,7,1995-08-07,"Mon",11223
1995,8,8,1995-08-08,"Tues",12441
1995,8,9,1995-08-09,"Wed",12217
1995,8,10,1995-08-10,"Thurs",12243
1995,8,11,1995-08-11,"Fri",12154
1995,8,12,1995-08-12,"Sat",9153
1995,8,13,1995-08-13,"Sun",8421
1995,8,14,1995-08-14,"Mon",11297
1995,8,15,1995-08-15,"Tues",12760
1995,8,16,1995-08-16,"Wed",12244
1995,8,17,1995-08-17,"Thurs",12345
1995,8,18,1995-08-18,"Fri",12362
1995,8,19,1995-08-19,"Sat",9265
1995,8,20,1995-08-20,"Sun",8434
1995,8,21,1995-08-21,"Mon",11436
1995,8,22,1995-08-22,"Tues",12612
1995,8,23,1995-08-23,"Wed",12083
1995,8,24,1995-08-24,"Thurs",12381
1995,8,25,1995-08-25,"Fri",12208
1995,8,26,1995-08-26,"Sat",9155
1995,8,27,1995-08-27,"Sun",8509
1995,8,28,1995-08-28,"Mon",11473
1995,8,29,1995-08-29,"Tues",12522
1995,8,30,1995-08-30,"Wed",12631
1995,8,31,1995-08-31,"Thurs",12485
1995,9,1,1995-09-01,"Fri",12439
1995,9,2,1995-09-02,"Sat",9079
1995,9,3,1995-09-03,"Sun",8438
1995,9,4,1995-09-04,"Mon",8441
1995,9,5,1995-09-05,"Tues",11682
1995,9,6,1995-09-06,"Wed",12951
1995,9,7,1995-09-07,"Thurs",12924
1995,9,8,1995-09-08,"Fri",12939
1995,9,9,1995-09-09,"Sat",9714
1995,9,10,1995-09-10,"Sun",8568
1995,9,11,1995-09-11,"Mon",11480
1995,9,12,1995-09-12,"Tues",12583
1995,9,13,1995-09-13,"Wed",12173
1995,9,14,1995-09-14,"Thurs",12789
1995,9,15,1995-09-15,"Fri",13023
1995,9,16,1995-09-16,"Sat",9535
1995,9,17,1995-09-17,"Sun",8757
1995,9,18,1995-09-18,"Mon",11729
1995,9,19,1995-09-19,"Tues",12692
1995,9,20,1995-09-20,"Wed",12571
1995,9,21,1995-09-21,"Thurs",12663
1995,9,22,1995-09-22,"Fri",12813
