"replicate","name","year"
1,"Cassandra",1995
1,"Cassandra",1982
1,"Cassandra",1983
1,"Cassandra",1976
1,"Cassandra",1976
1,"Cassandra",1983
1,"Cassandra",1988
1,"Cassandra",2017
1,"Cassandra",1995
1,"Cassandra",1988
1,"Cassandra",2017
1,"Cassandra",2015
1,"Cassandra",2015
1,"Cassandra",2008
1,"Cassandra",2016
1,"Cassandra",1990
1,"Cassandra",1992
1,"Cassandra",1999
1,"Cindy",1985
1,"Cindy",2017
1,"Cindy",2017
1,"Cindy",2000
1,"Cindy",2008
1,"Cindy",1994
1,"Cindy",1979
1,"Cindy",2017
1,"Cindy",2017
1,"Cindy",1978
1,"Cindy",1983
1,"Cindy",1983
1,"Cindy",2015
1,"Cindy",2015
1,"Cindy",1986
1,"Cindy",2018
1,"Cindy",1997
1,"Cindy",2006
1,"Cindy",1979
1,"Cindy",2000
1,"Cindy",2002
1,"Cindy",1974
1,"Cindy",2015
1,"Cindy",1996
1,"Cindy",1993
1,"Cindy",1971
1,"Cindy",2004
1,"Cindy",1994
1,"Cindy",1976
1,"Cindy",1996
1,"Cindy",1983
1,"Cindy",1990
1,"Cindy",1988
1,"Cindy",1979
1,"Cindy",1971
1,"Cindy",2008
1,"Cindy",1994
1,"Cindy",1978
1,"Cindy",1971
1,"Cindy",2015
1,"Cindy",1983
1,"Cindy",2018
1,"Cindy",2015
1,"Cindy",2015
1,"Cindy",2018
1,"Cindy",1988
1,"Cindy",1983
1,"Cindy",1982
1,"Cindy",1988
1,"Cindy",1992
1,"Claire",1996
1,"Claire",2015
1,"Claire",1981
1,"Claire",2015
1,"Claire",2015
1,"Claire",2004
1,"Claire",1995
1,"Claire",1990
1,"Claire",1971
1,"Claire",1988
1,"Claire",2015
1,"Claire",2006
1,"Claire",1983
1,"Claire",2006
1,"Claire",1999
1,"Claire",1979
1,"Claire",2016
1,"Claire",2015
1,"Claire",1979
1,"Claire",2004
1,"Claire",1971
1,"Claire",2004
1,"Claire",2002
1,"Claire",2006
1,"Claire",1978
1,"Claire",2016
1,"Claire",1997
1,"Claire",2008
1,"Claire",1979
1,"Claire",1997
1,"Claire",1999
1,"Claire",2017
1,"Claire",2015
1,"Claire",1979
1,"Claire",1979
1,"Claire",1985
1,"Claire",2017
1,"Claire",1996
1,"Claire",1971
1,"Claire",1976
1,"Claire",1998
1,"Claire",1979
1,"Claire",1981
1,"Claire",1976
1,"Claire",1988
1,"Claire",1982
1,"Claire",2017
1,"Claire",1997
1,"Claire",1988
1,"Claire",2006
1,"Dahlia",1985
1,"Dahlia",2008
1,"Dahlia",1983
1,"Dahlia",2015
1,"Dahlia",2008
1,"Dahlia",1976
1,"Dahlia",1988
1,"Dahlia",2013
1,"Dahlia",1979
1,"Dahlia",1996
1,"Dahlia",2008
1,"Dahlia",1974
1,"Dahlia",2018
1,"Dahlia",1990
1,"Dahlia",2002
1,"Dahlia",2017
1,"Dahlia",1998
1,"Dahlia",2002
1,"Dahlia",2015
1,"Dahlia",2000
1,"Dahlia",2015
1,"Dahlia",1997
1,"Dahlia",2018
1,"Dahlia",1985
1,"Dahlia",2000
1,"Dahlia",2018
1,"Dahlia",1999
1,"Dahlia",2015
1,"Dahlia",2004
1,"Dahlia",2015
1,"Dahlia",1976
1,"Dahlia",2015
1,"Dahlia",1976
1,"Dahlia",2013
1,"Dahlia",2017
1,"Dahlia",1962
1,"Dahlia",1981
1,"Dahlia",2015
1,"Dahlia",2017
1,"Dahlia",2017
1,"Dahlia",1979
1,"Dahlia",1988
1,"Dahlia",1983
1,"Dahlia",1976
1,"Dahlia",1995
1,"Dahlia",2015
1,"Dahlia",1994
1,"Dahlia",1985
1,"Dahlia",1996
1,"Dahlia",1983
1,"Dan",2017
1,"Dan",1985
1,"Dan",1979
1,"Dan",1988
1,"Dan",1985
1,"Dan",1993
1,"Dan",2015
1,"Dan",1996
1,"Dan",2006
1,"Dan",1983
1,"Dan",2015
1,"Dan",1976
1,"Dan",1985
1,"Dan",1992
1,"Dan",1988
1,"Dan",1982
1,"Dan",1990
1,"Dan",2004
1,"Dan",1979
1,"Dan",1986
1,"Dan",1997
1,"Dan",1976
1,"Dan",1983
1,"Dan",1990
1,"Dan",1976
1,"Dan",2015
1,"Dan",1976
1,"Dan",1994
1,"Dan",1994
1,"Dan",1971
1,"Dan",2015
1,"Dan",1996
1,"Dan",1971
1,"Dan",2015
1,"Dan",2015
1,"Dan",1983
1,"Dan",1982
1,"Dan",1992
1,"Dan",2016
1,"Dan",1997
1,"Dan",2013
1,"Dan",2015
1,"Dan",1993
1,"Dan",1976
1,"Dan",2006
1,"Dan",2013
1,"Dan",2006
1,"Dan",1997
1,"Dan",1988
1,"Dan",1988
1,"Eindra",1996
1,"Eindra",2017
1,"Eindra",1978
1,"Eindra",2006
1,"Eindra",2008
1,"Eindra",1985
1,"Eindra",1976
1,"Eindra",2002
1,"Eindra",1985
1,"Eindra",1992
1,"Eindra",1981
1,"Eindra",1979
1,"Eindra",1992
1,"Eindra",1978
1,"Eindra",2008
1,"Eindra",1997
1,"Eindra",1998
1,"Eindra",1986
1,"Eindra",1981
1,"Eindra",1979
1,"Eindra",1992
1,"Eindra",1988
1,"Eindra",2002
1,"Eindra",2015
1,"Eindra",2017
1,"Eindra",1981
1,"Eindra",1971
1,"Eindra",1985
1,"Eindra",1992
1,"Eindra",1983
1,"Eindra",2006
1,"Eindra",1988
1,"Eindra",1983
1,"Eindra",1992
1,"Eindra",1997
1,"Eindra",1979
1,"Eindra",2008
1,"Eindra",1979
1,"Eindra",2017
1,"Eindra",2013
1,"Eindra",1979
1,"Eindra",2015
1,"Eindra",2016
1,"Eindra",1998
1,"Eindra",2004
1,"Eindra",2016
1,"Eindra",1971
1,"Eindra",1983
1,"Eindra",1976
1,"Eindra",2008
1,"Ella",1995
1,"Ella",1997
1,"Ella",1971
1,"Ella",1996
1,"Ella",1981
1,"Ella",2015
1,"Ella",1981
1,"Ella",1981
1,"Ella",2017
1,"Ella",1993
1,"Ella",2002
1,"Ella",2015
1,"Ella",1983
1,"Ella",2015
1,"Ella",1971
1,"Ella",1976
1,"Ella",1997
1,"Ella",1978
1,"Ella",1983
1,"Ella",2018
1,"Ella",1999
1,"Ella",1998
1,"Ella",2016
1,"Ella",1979
1,"Ella",1985
1,"Ella",1979
1,"Ella",1985
1,"Ella",1997
1,"Ella",1974
1,"Ella",1985
1,"Ella",1962
1,"Ella",1985
1,"Ella",2013
1,"Ella",2008
1,"Ella",1983
1,"Ella",2015
1,"Ella",2015
1,"Ella",1995
1,"Ella",1971
1,"Ella",2017
1,"Ella",1994
1,"Ella",1998
1,"Ella",2000
1,"Ella",1997
1,"Ella",2015
1,"Ella",1978
1,"Ella",2017
1,"Ella",2013
1,"Ella",1992
1,"Ella",2008
1,"Erin",2015
1,"Erin",1981
1,"Erin",1998
1,"Erin",1979
1,"Erin",2015
1,"Erin",2013
1,"Erin",1990
1,"Erin",1996
1,"Erin",1971
1,"Erin",1979
1,"Erin",1986
1,"Erin",1993
1,"Erin",2016
1,"Erin",2015
1,"Erin",2006
1,"Erin",2008
1,"Erin",2006
1,"Erin",2016
1,"Erin",1990
1,"Erin",1971
1,"Erin",2015
1,"Erin",1996
1,"Erin",2008
1,"Erin",1978
1,"Erin",1994
1,"Erin",1988
1,"Erin",1979
1,"Erin",1997
1,"Erin",2004
1,"Erin",1996
1,"Erin",1994
1,"Erin",1997
1,"Erin",2017
1,"Erin",2013
1,"Erin",1979
1,"Erin",1995
1,"Erin",2017
1,"Erin",1983
1,"Erin",1979
1,"Erin",1992
1,"Erin",1992
1,"Erin",2000
1,"Erin",1997
1,"Erin",2017
1,"Erin",1988
1,"Erin",2015
1,"Erin",1982
1,"Erin",2000
1,"Erin",1988
1,"Erin",1990
1,"Eunice",2016
1,"Eunice",1978
1,"Eunice",2015
1,"Eunice",1978
1,"Eunice",2004
1,"Eunice",1995
1,"Eunice",1985
1,"Eunice",1979
1,"Eunice",2008
1,"Eunice",2015
1,"Eunice",1988
1,"Eunice",1978
1,"Eunice",1962
1,"Eunice",2015
1,"Eunice",1978
1,"Eunice",2017
1,"Eunice",1995
1,"Eunice",2015
1,"Eunice",1981
1,"Eunice",2016
1,"Eunice",1995
1,"Eunice",1988
1,"Eunice",2015
1,"Eunice",1988
1,"Eunice",2018
1,"Eunice",1983
1,"Eunice",1997
1,"Eunice",2015
1,"Eunice",1985
1,"Eunice",1992
1,"Eunice",2008
1,"Eunice",1997
1,"Eunice",2016
1,"Eunice",2017
1,"Eunice",2006
1,"Eunice",1986
1,"Eunice",2015
1,"Eunice",1988
1,"Eunice",1962
1,"Eunice",1995
1,"Eunice",1994
1,"Eunice",1986
1,"Eunice",1995
1,"Eunice",1988
1,"Eunice",1990
1,"Eunice",1988
1,"Eunice",2015
1,"Eunice",1999
1,"Eunice",1976
1,"Eunice",2018
1,"Faith",2015
1,"Faith",2000
1,"Faith",1979
1,"Faith",2017
1,"Faith",1979
1,"Faith",1985
1,"Faith",2018
1,"Faith",2008
1,"Faith",1994
1,"Faith",1990
1,"Faith",1998
1,"Faith",1992
1,"Faith",2013
1,"Faith",2008
1,"Faith",1981
1,"Faith",2017
1,"Faith",1979
1,"Faith",1983
1,"Faith",1978
1,"Faith",2015
1,"Faith",1986
1,"Faith",1983
1,"Faith",1996
1,"Faith",1997
1,"Faith",2015
1,"Faith",1978
1,"Faith",2008
1,"Faith",2000
1,"Faith",1979
1,"Faith",2016
1,"Faith",2008
1,"Faith",1974
1,"Faith",2002
1,"Faith",1962
1,"Faith",1993
1,"Faith",1992
1,"Faith",1993
1,"Faith",2015
1,"Faith",2013
1,"Faith",1983
1,"Faith",1979
1,"Faith",2018
1,"Faith",1999
1,"Faith",1986
1,"Faith",1985
1,"Faith",2017
1,"Faith",1996
1,"Faith",2017
1,"Faith",2006
1,"Faith",1988
1,"Glenda",1976
1,"Glenda",2017
1,"Glenda",1978
1,"Glenda",1992
1,"Glenda",2006
1,"Glenda",1976
1,"Glenda",2016
1,"Glenda",2015
1,"Glenda",1962
1,"Glenda",1974
1,"Glenda",2002
1,"Glenda",2017
1,"Glenda",2004
1,"Glenda",1988
1,"Glenda",2002
1,"Glenda",1998
1,"Glenda",2004
1,"Glenda",1996
1,"Glenda",1992
1,"Glenda",1993
1,"Glenda",1995
1,"Glenda",2013
1,"Glenda",2018
1,"Glenda",1962
1,"Glenda",1976
1,"Glenda",1981
1,"Glenda",1992
1,"Glenda",1978
1,"Glenda",2006
1,"Glenda",1974
1,"Glenda",1994
1,"Glenda",2016
1,"Glenda",1979
1,"Glenda",1986
1,"Glenda",1971
1,"Glenda",2018
1,"Glenda",1993
1,"Glenda",2017
1,"Glenda",1992
1,"Glenda",1988
1,"Glenda",1990
1,"Glenda",2015
1,"Glenda",2004
1,"Glenda",1996
1,"Glenda",2015
1,"Glenda",2000
1,"Glenda",1994
1,"Glenda",1979
1,"Glenda",1997
1,"Glenda",2002
1,"Grace",2008
1,"Grace",2002
1,"Grace",2016
1,"Grace",2002
1,"Grace",1978
1,"Grace",2018
1,"Grace",2002
1,"Grace",1985
1,"Grace",1985
1,"Grace",1974
1,"Grace",1994
1,"Grace",1999
1,"Grace",1998
1,"Grace",1998
1,"Grace",1990
1,"Grace",1998
1,"Grace",1995
1,"Grace",1988
1,"Grace",2015
1,"Grace",2015
1,"Grace",1974
1,"Grace",1995
1,"Grace",1988
1,"Grace",2015
1,"Grace",1990
1,"Grace",1993
1,"Grace",2017
1,"Grace",1992
1,"Grace",2015
1,"Grace",2017
1,"Grace",1992
1,"Grace",1999
1,"Grace",2008
1,"Grace",1988
1,"Grace",2017
1,"Grace",1986
1,"Grace",1981
1,"Grace",2018
1,"Grace",1996
1,"Grace",2002
1,"Grace",2000
1,"Grace",1994
1,"Grace",1976
1,"Grace",2006
1,"Grace",2017
1,"Grace",1982
1,"Grace",2015
1,"Grace",1979
1,"Grace",1999
1,"Grace",1997
1,"Hafsa",1985
1,"Hafsa",1992
1,"Hafsa",2018
1,"Hafsa",1996
1,"Hafsa",1996
1,"Hafsa",1976
1,"Hafsa",1985
1,"Hafsa",1993
1,"Hafsa",2006
1,"Hafsa",1976
1,"Hafsa",2008
1,"Hafsa",1995
1,"Hafsa",2015
1,"Hafsa",2006
1,"Hafsa",1983
1,"Hafsa",1981
1,"Hafsa",2015
1,"Hafsa",1983
1,"Hafsa",1985
1,"Hafsa",2017
1,"Hafsa",1996
1,"Hafsa",1981
1,"Hafsa",2015
1,"Hafsa",1996
1,"Hafsa",2017
1,"Hafsa",2008
1,"Hafsa",1983
1,"Hafsa",1974
1,"Hafsa",1993
1,"Hafsa",2017
1,"Hafsa",2002
1,"Hafsa",2006
1,"Hafsa",1983
1,"Hafsa",1983
1,"Hafsa",2002
1,"Hafsa",2008
1,"Hafsa",1988
1,"Hafsa",2008
1,"Hafsa",1996
1,"Hafsa",2015
1,"Hafsa",2008
1,"Hafsa",1988
1,"Hafsa",2017
1,"Hafsa",1979
1,"Hafsa",1976
1,"Hafsa",1976
1,"Hafsa",1962
1,"Hafsa",1993
1,"Hafsa",1978
1,"Hafsa",2013
1,"Jenny",1998
1,"Jenny",2015
1,"Jenny",2017
1,"Jenny",1981
1,"Jenny",1979
1,"Jenny",1997
1,"Jenny",1979
1,"Jenny",1997
1,"Jenny",1990
1,"Jenny",2002
1,"Jenny",1988
1,"Jenny",1993
1,"Jenny",1979
1,"Jenny",1999
1,"Jenny",1992
1,"Jenny",1978
1,"Jenny",2015
1,"Jenny",1995
1,"Jenny",2018
1,"Jenny",1978
1,"Jenny",2008
1,"Jenny",1974
1,"Jenny",2017
1,"Jenny",1998
1,"Jenny",2015
1,"Jenny",2017
1,"Jenny",1988
1,"Jenny",2017
1,"Jenny",1994
1,"Jenny",1971
1,"Jenny",2008
1,"Jenny",2015
1,"Jenny",1990
1,"Jenny",2008
1,"Jenny",1976
1,"Jenny",2015
1,"Jenny",2018
1,"Jenny",1983
1,"Jenny",1996
1,"Jenny",1985
1,"Jenny",2015
1,"Jenny",2006
1,"Jenny",2015
1,"Jenny",2013
1,"Jenny",1983
1,"Jenny",1974
1,"Jenny",1976
1,"Jenny",1976
1,"Jenny",2017
1,"Jenny",1982
1,"Karen",1982
1,"Karen",2008
1,"Karen",1982
1,"Karen",1979
1,"Karen",1986
1,"Karen",1981
1,"Karen",1976
1,"Karen",1979
1,"Karen",2004
1,"Karen",2018
1,"Karen",2004
1,"Karen",1978
1,"Karen",2017
1,"Karen",2008
1,"Karen",1993
1,"Karen",1978
1,"Karen",1996
1,"Karen",1985
1,"Karen",1971
1,"Karen",1992
1,"Karen",1986
1,"Karen",1988
1,"Karen",2015
1,"Karen",1988
1,"Karen",1978
1,"Karen",1992
1,"Karen",2008
1,"Karen",2002
1,"Karen",2015
1,"Karen",1962
1,"Karen",1985
1,"Karen",1988
1,"Karen",1979
1,"Karen",1982
1,"Karen",2013
1,"Karen",2000
1,"Karen",1962
1,"Karen",2017
1,"Karen",1988
1,"Karen",1993
1,"Karen",2017
1,"Karen",1979
1,"Karen",1992
1,"Karen",2015
1,"Karen",2006
1,"Karen",1997
1,"Karen",2017
1,"Karen",1979
1,"Karen",2015
1,"Karen",2008
1,"Logan",1992
1,"Logan",2015
1,"Logan",2008
1,"Logan",2015
1,"Logan",1998
1,"Logan",1976
1,"Logan",1997
1,"Logan",1995
1,"Logan",1985
1,"Logan",1971
1,"Logan",2017
1,"Logan",1981
1,"Logan",1999
1,"Logan",1983
1,"Logan",2006
1,"Logan",1985
1,"Logan",2008
1,"Logan",1988
1,"Logan",2006
1,"Logan",1988
1,"Logan",2015
1,"Logan",1974
1,"Logan",1985
1,"Logan",2006
1,"Logan",2006
1,"Logan",1995
1,"Logan",1976
1,"Logan",1994
1,"Logan",1979
1,"Logan",1978
1,"Logan",1986
1,"Logan",1988
1,"Logan",1983
1,"Logan",2018
1,"Logan",2015
1,"Logan",1998
1,"Logan",1971
1,"Logan",1979
1,"Logan",2017
1,"Logan",1976
1,"Logan",2015
1,"Logan",1979
1,"Logan",1996
1,"Logan",1979
1,"Logan",2015
1,"Logan",1998
1,"Logan",2015
1,"Logan",1988
1,"Logan",1971
1,"Logan",1983
1,"Mabel",1978
1,"Mabel",1985
1,"Mabel",2016
1,"Mabel",1981
1,"Mabel",1997
1,"Mabel",1979
1,"Mabel",1996
1,"Mabel",1978
1,"Mabel",2016
1,"Mabel",1976
1,"Mabel",2017
1,"Mabel",1993
1,"Mabel",1997
1,"Mabel",1993
1,"Mabel",1978
1,"Mabel",1974
1,"Mabel",2002
1,"Mabel",1978
1,"Mabel",2013
1,"Mabel",2015
1,"Mabel",1988
1,"Mabel",1994
1,"Mabel",2015
1,"Mabel",1990
1,"Mabel",1976
1,"Mabel",2008
1,"Mabel",1979
1,"Mabel",2015
1,"Mabel",1997
1,"Mabel",1998
1,"Mabel",1985
1,"Mabel",2015
1,"Mabel",2008
1,"Mabel",1993
1,"Mabel",1997
1,"Mabel",2017
1,"Mabel",1998
1,"Mabel",1988
1,"Mabel",1995
1,"Mabel",2015
1,"Mabel",1995
1,"Mabel",1976
1,"Mabel",2015
1,"Mabel",1979
1,"Mabel",2000
1,"Mabel",1990
1,"Mabel",2015
1,"Mabel",1995
1,"Mabel",2013
1,"Mabel",1983
1,"Maddie",2015
1,"Maddie",2013
1,"Maddie",2015
1,"Maddie",2017
1,"Maddie",1985
1,"Maddie",2013
1,"Maddie",2015
1,"Maddie",1962
1,"Maddie",2017
1,"Maddie",1985
1,"Maddie",1986
1,"Maddie",1981
1,"Maddie",1996
1,"Maddie",1994
1,"Maddie",1978
1,"Maddie",1993
1,"Maddie",2016
1,"Maddie",2015
1,"Maddie",1962
1,"Maddie",1995
1,"Maddie",2008
1,"Maddie",1994
1,"Maddie",1996
1,"Maddie",1986
1,"Maddie",2006
1,"Maddie",1994
1,"Maddie",1979
1,"Maddie",2015
1,"Maddie",1979
1,"Maddie",1998
1,"Maddie",1990
1,"Maddie",1999
1,"Maddie",1978
1,"Maddie",1985
1,"Maddie",2013
1,"Maddie",2015
1,"Maddie",1983
1,"Maddie",1992
1,"Maddie",2000
1,"Maddie",2015
1,"Maddie",1990
1,"Maddie",2008
1,"Maddie",1997
1,"Maddie",1996
1,"Maddie",2000
1,"Maddie",1999
1,"Maddie",2017
1,"Maddie",2015
1,"Maddie",1974
1,"Maddie",2015
1,"Min",1999
1,"Min",2008
1,"Min",1997
1,"Min",1996
1,"Min",2015
1,"Min",1997
1,"Min",1985
1,"Min",2017
1,"Min",2017
1,"Min",1978
1,"Min",1976
1,"Min",2000
1,"Min",1990
1,"Min",2006
1,"Min",2015
1,"Min",1997
1,"Min",1962
1,"Min",1962
1,"Min",2015
1,"Min",1994
1,"Min",2015
1,"Min",2002
1,"Min",2015
1,"Min",1982
1,"Min",1983
1,"Min",2013
1,"Min",1983
1,"Min",1985
1,"Min",1996
1,"Min",1998
1,"Min",1986
1,"Min",1979
1,"Min",2015
1,"Min",1985
1,"Min",1996
1,"Min",1997
1,"Min",1979
1,"Min",1979
1,"Min",2008
1,"Min",1983
1,"Min",2015
1,"Min",1983
1,"Min",1994
1,"Min",1997
1,"Min",2017
1,"Min",1985
1,"Min",1988
1,"Min",2013
1,"Min",2015
1,"Min",2015
1,"Morgan",1974
1,"Morgan",1976
1,"Morgan",1979
1,"Morgan",1978
1,"Morgan",2015
1,"Morgan",1996
1,"Morgan",2016
1,"Morgan",1981
1,"Morgan",1990
1,"Morgan",2015
1,"Morgan",2006
1,"Morgan",2017
1,"Morgan",1979
1,"Morgan",2017
1,"Morgan",1994
1,"Morgan",1999
1,"Morgan",1983
1,"Morgan",1999
1,"Morgan",1999
1,"Morgan",1985
1,"Morgan",1999
1,"Morgan",2015
1,"Morgan",1981
1,"Morgan",1985
1,"Morgan",2004
1,"Morgan",1985
1,"Morgan",1971
1,"Morgan",1979
1,"Morgan",2002
1,"Morgan",2017
1,"Morgan",2015
1,"Morgan",1996
1,"Morgan",1971
1,"Morgan",1978
1,"Morgan",1985
1,"Morgan",1979
1,"Morgan",2017
1,"Morgan",1982
1,"Morgan",2015
1,"Morgan",1988
1,"Morgan",2008
1,"Morgan",2015
1,"Morgan",1988
1,"Morgan",2006
1,"Morgan",1995
1,"Morgan",1976
1,"Morgan",2013
1,"Morgan",2002
1,"Morgan",1985
1,"Morgan",2017
1,"Naoni",2004
1,"Naoni",1978
1,"Naoni",1985
1,"Naoni",1995
1,"Naoni",2015
1,"Naoni",1983
1,"Naoni",1999
1,"Naoni",1992
1,"Naoni",2006
1,"Naoni",1982
1,"Naoni",1983
1,"Naoni",1988
1,"Naoni",2002
1,"Naoni",1995
1,"Naoni",1988
1,"Naoni",1985
1,"Naoni",1990
1,"Naoni",2008
1,"Naoni",1974
1,"Naoni",1995
1,"Naoni",1974
1,"Naoni",2013
1,"Naoni",1999
1,"Naoni",1985
1,"Naoni",2004
1,"Naoni",1979
1,"Naoni",2008
1,"Naoni",1979
1,"Naoni",1996
1,"Naoni",2018
1,"Naoni",2004
1,"Naoni",2000
1,"Naoni",1979
1,"Naoni",1998
1,"Naoni",1971
1,"Naoni",2015
1,"Naoni",2017
1,"Naoni",1962
1,"Naoni",1971
1,"Naoni",1993
1,"Naoni",1979
1,"Naoni",1976
1,"Naoni",1983
1,"Naoni",1978
1,"Naoni",1997
1,"Naoni",2000
1,"Naoni",2017
1,"Naoni",2008
1,"Naoni",1974
1,"Naoni",1994
1,"Noa",1976
1,"Noa",1962
1,"Noa",1986
1,"Noa",1992
1,"Noa",1996
1,"Noa",1988
1,"Noa",2006
1,"Noa",1974
1,"Noa",1995
1,"Noa",1996
1,"Noa",1981
1,"Noa",1982
1,"Noa",1996
1,"Noa",2008
1,"Noa",1962
1,"Noa",1978
1,"Noa",1981
1,"Noa",2008
1,"Noa",2015
1,"Noa",1998
1,"Noa",2017
1,"Noa",1978
1,"Noa",1979
1,"Noa",2008
1,"Noa",2013
1,"Noa",2013
1,"Noa",1986
1,"Noa",2015
1,"Noa",1985
1,"Noa",1983
1,"Noa",1976
1,"Noa",1978
1,"Noa",1995
1,"Noa",1962
1,"Noa",1979
1,"Noa",1986
1,"Noa",1962
1,"Noa",2017
1,"Noa",1976
1,"Noa",1988
1,"Noa",1983
1,"Noa",1979
1,"Noa",1976
1,"Noa",1988
1,"Noa",1976
1,"Noa",1983
1,"Noa",2015
1,"Noa",1983
1,"Noa",2017
1,"Noa",1997
1,"Nox",2017
1,"Nox",2017
1,"Nox",1978
1,"Nox",2016
1,"Nox",1962
1,"Nox",2000
1,"Nox",1999
1,"Nox",1985
1,"Nox",2015
1,"Nox",1985
1,"Nox",1978
1,"Nox",1983
1,"Nox",1995
